Touro                NYMC
10.93.125.0/24 overlaps 10.93.0.0/16
10.93.130.0/24 overlaps 10.93.0.0/16
10.93.141.0/24 overlaps 10.93.0.0/16
10.93.150.0/24 overlaps 10.93.0.0/16
10.93.170.0/24 overlaps 10.93.0.0/16
10.93.225.0/24 overlaps 10.93.0.0/16
10.95.0.0/16 overlaps 10.95.0.0/16
10.200.0.0/30 overlaps 10.200.0.0/16
10.200.0.4/30 overlaps 10.200.0.0/16
10.200.13.0/24 overlaps 10.200.0.0/16
10.200.16.0/24 overlaps 10.200.0.0/16
10.200.17.0/24 overlaps 10.200.0.0/16
10.200.18.0/24 overlaps 10.200.0.0/16
10.200.32.0/24 overlaps 10.200.0.0/16
10.200.40.0/24 overlaps 10.200.0.0/16
10.200.43.0/24 overlaps 10.200.0.0/16
10.200.45.0/24 overlaps 10.200.0.0/16
10.200.50.0/24 overlaps 10.200.0.0/16
10.200.65.0/24 overlaps 10.200.0.0/16
10.200.66.0/24 overlaps 10.200.0.0/16
10.200.71.0/24 overlaps 10.200.0.0/16
10.200.85.0/24 overlaps 10.200.0.0/16
10.200.90.0/24 overlaps 10.200.0.0/16
10.200.95.0/24 overlaps 10.200.0.0/16
10.200.130.0/24 overlaps 10.200.0.0/16
10.200.141.0/24 overlaps 10.200.0.0/16
10.200.150.0/24 overlaps 10.200.0.0/16
10.200.153.0/24 overlaps 10.200.0.0/16
10.200.159.0/24 overlaps 10.200.0.0/16
10.200.170.0/24 overlaps 10.200.0.0/16
10.200.200.0/24 overlaps 10.200.0.0/16
10.200.209.0/24 overlaps 10.200.0.0/16
172.28.0.0/16 overlaps 172.28.28.0/24
192.168.118.0/24 overlaps 192.168.118.0/24
192.168.150.0/24 overlaps 192.168.150.0/24
192.168.155.0/24 overlaps 192.168.155.0/24
192.168.160.0/24 overlaps 192.168.160.0/24
192.168.161.0/24 overlaps 192.168.161.0/24
192.168.164.0/24 overlaps 192.168.164.0/24
192.168.165.0/24 overlaps 192.168.165.0/24
192.168.166.0/24 overlaps 192.168.166.0/24
192.168.167.0/24 overlaps 192.168.167.0/24
192.168.168.0/24 overlaps 192.168.168.0/24
192.168.169.0/24 overlaps 192.168.169.0/24
192.168.170.0/23 overlaps 192.168.170.0/24
192.168.200.0/24 overlaps 192.168.200.0/24
